BUILD_CODE,WORK_TYPE,ID,START,END,COST
2.2,SIP Перекрытие 1-го этажа,2984356,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984359,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984362,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984368,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984371,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984377,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984380,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984386,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984389,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984390,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984392,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984436,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984437,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984438,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984439,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984441,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984582,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984585,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984758,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984761,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984763,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984778,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984781,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984783,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984786,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984789,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984791,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984794,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984797,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984799,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984802,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984805,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984807,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984810,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984813,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984815,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984818,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984821,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984823,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984826,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984829,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984831,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984834,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984837,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984839,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987141,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987144,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987146,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987149,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987152,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2987154,05.07.2025,05.08.2025,100
